,,,142693,142694,142692,142695,142690,142696,142699,142703,142704,210814,210818,142716,142698,142689,142711,142715,142714,142705,142727,142728,142726,142729,142724,142730,142733,142737,142738,210848,210852,142750,142732,142723,142745,142749,142748,142739,142401,142402,142400,142403,142398,142405,142408,142413,142417,142414,142424,142397,142420,142419,142422,142423,142024,142051,142031,142682,142683,142686,141971,141973,141978,141980,141985,141993,209216,209404,209434,209509,209473,209480,209077,209434,209407,209408,209409,219419,219420,219423,219424,231403,231405,209413,209414,209416,209404,209377,209378,209379,219396,219397,219400,219401,231399,231401,209383,209384,209386,209085,209732,210210,219349,209130,210776,210780,210781,250294
Period,Institution Name ,SNL Institution Key ,CO: U.S. RE: Close-end First Lien 1-4 Family ($000),CO: U.S. RE: Close-end Jr Lien 1-4 Family ($000),CO: U.S. RE: Total Close-end 1-4 Family ($000),CO: U.S. RE: Revolving 1-4 Family (HE Lines) ($000),CO: U.S. RE: Construction & Land Development ($000),CO: U.S. RE: Multifamily ($000),CO: U.S. RE: Commercial ($000),CO: Commercial & Industrial Lns U.S. Addressees ($000),CO: Commercial & Industrial Lns Non-U.S. Address ($000),CO: Credit Card Loans ($000),CO: Consumer Loans ($000),CO: Total Lease Financing Receivables ($000),CO: U.S. RE: Farm Loans ($000),CO: Loans Sec by Real Estate to Non-U.S. Address ($000),CO: Total Lns to Dep Institutions & Acceptances ($000),CO: Agricultural Production Loans ($000),CO: Lns to non-U.S. Gov & Official Institutions ($000),CO: All Other Loans ($000),Rec: U.S. RE: Close-end First Lien 1-4 Family ($000),Rec: U.S. RE: Close-end Jr Lien 1-4 Family ($000),Rec: U.S. RE: Total Close-end 1-4 Family ($000),Rec: U.S. RE: Revolving 1-4 Family (HE Lines) ($000),Rec: U.S. RE: Construction & Land Development ($000),Rec: U.S. RE: Multifamily ($000),Rec: U.S. RE: Commercial ($000),Rec: Commercial & Industrial Lns U.S. Addressees ($000),Rec: Commercial & Industrial Lns Non-U.S. Address ($000),Rec: Credit Card Loans ($000),Rec: Consumer Loans ($000),Rec: Total Lease Financing Receivables ($000),Rec: U.S. RE: Farm Loans ($000),Rec: Loans Sec by Real Estate to Non-U.S. Address ($000),Rec: Total Lns to Dep Institutions & Acceptances ($000),Rec: Agricultural Production Loans ($000),Rec: Lns to non-U.S. Gov & Official Institutions ($000),Rec: All Other Loans ($000),U.S. RE: Cl-end Frst Lien 1-4 ($000),U.S. RE: Cl-end Jr Lien 1-4 ($000),U.S. RE: Tot Cl-end 1-4 Family ($000),U.S. RE: Rev 1-4 Fam (HE Lines) ($000),U.S. RE: Constr & Land Dev ($000),U.S. RE: Multifamily Loans ($000),U.S. RE: Comm RE(Nonfarm/NonRes) ($000),Con: Tot Comm & Ind Loans ($000),Con: Credit Cards & Rel Plans ($000),Con: Tot Consumer Loans ($000),Con: Total Leases ($000),Con: Total Real Estate Loans ($000),Con: Loans to Depository Institutions ($000),Con: Agricultural Prod Loans ($000),Con: non-U.S. Government Loans ($000),Other Loans ($000),Net Interest Income ($000),Total Noninterest Income ($000),NII: Trading Revenue ($000),NIE: Salary & Benefits ($000),NIE: Premises & Fixed Assets ($000),Total Noninterest Expense ($000),Interest Bearing Balances ($000),Tot Fed Funds & Reverse Repos ($000),Total Securities ($000),Gross Loans & Leases ($000),Total Trading Assets ($000),Total Assets ($000),Gain:Realized Gns AFS Secs ($000),Total Securities AFS BV ($000),Total AFS Securities FV ($000),U.S. RE: Total 1-4 Fmly ($000),Con: Total Real Estate Loans ($000),Con: Tot Comm & Ind Loans ($000),Total Securities ($000),Total AFS Securities FV ($000),AFS(F):US Treasury Secs ($000),AFS(F):Govt Ag Secs ($000),AFS(F):Govt-Spons Ag ($000),AFS(F): Pass-Through RMBS: Guar by GNMA ($000),AFS(F): Pass-Through RMBS: Issd by FNMA and FHLMC ($000),AFS(F): Other RMBS: Issd or Guar by GSEs ($000),AFS(F):Other RMBS:Coll by MBS Issd or Guar by GSEs ($000),AFS(F): Pass-Through CMBS Issd or Guar by GSEs ($000),AFS(F): Other CMBS Issd or Guar by GSEs ($000),AFS(F):MBS GNMA (historical) ($000),AFS(F):MBS Sp Ag (historical) ($000),AFS(F):CMOs (FNMA) (historical) ($000),Total Securities AFS BV ($000),AFS(C):US Treasury Secs ($000),AFS(C):Govt Ag Secs ($000),AFS(C):Govt-Spons Ag ($000),AFS(C): Pass-Through RMBS: Guar by GNMA ($000),AFS(C): Pass-Through RMBS: Issd by FNMA and FHLMC ($000),AFS(C): Other RMBS: Issd or Guar by GSEs ($000),AFS(C):Other RMBS:Coll by MBS Issd or Guar by GSEs ($000),AFS(C): Pass-Through CMBS Issd or Guar by GSEs ($000),AFS(C): Other CMBS Issd or Guar by GSEs ($000),AFS(C):MBS GNMA (historical) ($000),AFS(C):MBS Sp Ag (historical) ($000),AFS(C):CMOs (FNMA) (historical) ($000),Total Reserves ($000),Net Deferred Tax Asset ($000),Disallowed Deferred Taxes ($000),Net Inc: Noncontrolling Interests ($000),GRB: Total Equity Capital ($000),Less:Purchase of Treasury Stck ($000),Dividends on Preferred Stock ($000),Dividends on Common Stock ($000),B3/GRB: Tier 1 Common Capital (CET1) ($000)
2014Q3,1854 Bancorp,4346236,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,"294,388","1,505","295,893","22,197","58,568","54,951","122,736","19,562",79,"9,428",0,"554,345",0,0,0,0,"5,891",716.00,0,"3,404.00",693.00,"5,589","43,980.00",100,"196,333","583,335",0,"882,533",7,"178,243","175,786","318,090","554,345","19,562","196,333","175,786",0,0,"85,988",0,"43,863",0,"12,689",0,0,NA,NA,NA,"178,243",0,0,"87,489",0,"44,584",0,"12,976",0,0,NA,NA,NA,"3,882","7,801","4,479",0,"91,712",0,0,0,"89,659"
2014Q3,1867 Western Financial Corporation,1022397,0,0,0,0,0,0,0,79,0,13,100,0,0,0,0,0,0,2,37,0,37,3,50,0,30,48,0,5,78,0,0,0,0,0,0,0,"153,388","1,337","154,725","60,727","28,045","32,564","332,135","177,141","3,498","211,265",0,"777,589",0,"106,914",0,"10,520","19,183","5,318.00",0,"8,521.00","1,335.00","14,331","39,016.00",0,"789,176","1,283,429",0,"2,311,670",40,"659,488","783,314","215,452","777,589","177,141","789,176","783,314","85,447",0,"275,809",34,"38,585",0,0,0,0,NA,NA,NA,"659,488","85,347",0,"275,556",33,"38,268",0,0,0,0,NA,NA,NA,"39,499","25,118",0,0,"341,739",0,0,0,"238,515"
2014Q3,1st Constitution Bancorp,4053361,15,7,22,0,0,0,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,9,0,0,0,0,0,0,0,0,0,0,"59,241","4,413","63,654","23,553","88,397",0,"213,696","231,066",0,793,"8,696","389,300",0,0,0,0,"8,947","1,479.00",0,"3,922.00","1,432.00","6,721","13,543.00",0,"250,646","629,855",0,"954,305",0,"102,694","102,463","87,207","389,300","231,066","250,646","102,463","9,451",0,"1,536",434,"18,634","4,974",0,"9,612",0,NA,NA,NA,"102,694","9,891",0,"1,540",407,"17,911","4,896",0,"9,819",0,NA,NA,NA,"7,108","6,946",0,0,"84,476",98,0,0,"71,200"
2014Q3,1st Source Corporation,100444,18,0,18,4,0,0,0,"3,002",0,0,106,10,0,0,0,0,0,84,25,8,33,8,0,0,131,407,0,0,13,4,0,0,0,6,0,40,"355,166","38,825","393,991","169,336","65,152","22,769","610,885","1,963,392","34,987","110,526","208,239","1,359,431",0,"21,256",0,"4,647","40,710","19,550.00",-2,"20,790.00","3,741.00","37,811","30,324.00",0,"813,704","3,667,491","9,126","4,821,175",0,"799,862","813,704","563,327","1,359,431","1,963,392","813,704","813,704","19,744",0,"374,155","99,624","55,537","98,299",0,0,0,NA,NA,NA,"799,862","20,011",0,"372,567","98,098","54,245","97,367",0,0,0,NA,NA,NA,"87,400","3,595",0,0,"603,033",545,0,"4,327","508,802"
2014Q3,"1st Summit Bancorp of Johnstown, Inc.",1023101,31,0,31,0,0,0,20,218,0,4,57,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,"191,524","6,690","198,214","14,795","15,709","6,388","100,657","56,321","4,754","33,359",0,"336,857",0,15,0,"14,471","6,618","1,116.00",0,"2,505.00",678.00,"4,492","12,875.00",0,"417,134","441,023",0,"905,054",162,"217,175","220,120","213,009","336,857","56,321","417,134","220,120",0,0,"2,057",54,"151,352",0,0,0,0,NA,NA,NA,"217,175",0,0,"2,000",48,"150,927",0,0,0,0,NA,NA,NA,"5,740","2,353",0,0,"74,487",81,0,538,"72,155"
2014Q3,215 Holding Company,1021899,0,0,0,0,0,0,0,24,0,0,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,14,0,0,2,0,0,0,0,0,0,0,"45,768","3,995","49,763","29,976","6,164","4,781","79,237","82,535","6,412","20,768",0,"283,623",0,"105,840",0,"17,830","6,632",810.00,0,"2,806.00",451.00,"4,585","23,657.00",0,"105,832","510,596",97,"672,297",0,"104,928","105,832","79,739","283,623","82,535","105,832","105,832",507,0,"99,625",1,5,29,0,0,0,NA,NA,NA,"104,928",500,0,"98,914",1,5,27,0,0,0,NA,NA,NA,"5,675",0,0,0,"75,757",0,0,"1,368","71,799"
2014Q3,473 Broadway Holding Corporation,1016834,0,0,0,0,0,0,0,0,0,7,62,0,0,0,0,0,0,1,2,0,2,0,0,0,0,7,0,0,21,0,0,0,0,0,0,0,"129,902","2,658","132,560","40,631","26,436","8,667","239,368","63,347","2,659","92,913",0,"447,662",0,0,0,"12,322","6,818","5,007.00",0,"5,028.00","1,673.00","8,913","57,769.00",0,"252,925","616,244",0,"1,008,861",30,"251,066","252,925","173,191","447,662","63,347","252,925","252,925","167,344",0,0,"6,427",0,"4,836",0,0,"5,911",NA,NA,NA,"251,066","166,872",0,0,"6,149",0,"4,660",0,0,"5,823",NA,NA,NA,"9,036",0,0,"1,010","56,812",0,0,866,"39,809"
2014Q3,Access National Corporation,4078679,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,15,18,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,"186,194","14,962","201,156","33,023","31,594",888,"308,564","187,085",0,"6,682",0,"577,075",0,0,0,3,"9,083","5,188.00",0,"5,860.00",715.00,"6,682","60,479.00",0,"141,737","770,845",0,"1,015,093",25,"129,000","127,422","234,179","577,075","187,085","141,737","127,422",0,"7,213","18,346","6,221","21,673","38,997",0,"2,766",0,NA,NA,NA,"129,000",0,"7,312","18,998","6,299","22,056","39,235",0,"2,889",0,NA,NA,NA,"13,244","6,321",0,0,"99,740",0,0,"1,357","99,013"
